,Suburb,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Price
2372,Brunswick West,3,t,5.9,,,,,,,Northern Metropolitan,650000.0
2375,Brunswick West,7,h,5.9,7.0,3.0,1.0,447.0,287.0,1982.0,Northern Metropolitan,1205000.0
2376,Brunswick West,3,t,5.9,,,,,,,Northern Metropolitan,775000.0
2377,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,62.0,1970.0,Northern Metropolitan,380000.0
2378,Brunswick West,3,h,5.9,3.0,1.0,1.0,411.0,168.0,1935.0,Northern Metropolitan,1095000.0
2379,Brunswick West,2,t,5.9,2.0,1.0,1.0,0.0,82.0,1970.0,Northern Metropolitan,680000.0
2380,Brunswick West,2,h,5.9,2.0,1.0,1.0,177.0,87.0,1910.0,Northern Metropolitan,711000.0
2381,Brunswick West,2,h,5.9,2.0,1.0,4.0,576.0,,,Northern Metropolitan,910000.0
2382,Brunswick West,3,h,5.9,3.0,1.0,3.0,608.0,,,Northern Metropolitan,1186000.0
2383,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,75.0,1970.0,Northern Metropolitan,500000.0
2385,Brunswick West,2,h,5.9,2.0,1.0,1.0,284.0,,1926.0,Northern Metropolitan,1005000.0
2386,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,62.0,1970.0,Northern Metropolitan,385000.0
2387,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,,,Northern Metropolitan,656000.0
2388,Brunswick West,2,u,5.9,2.0,1.0,1.0,2120.0,59.0,1960.0,Northern Metropolitan,370000.0
2389,Brunswick West,1,u,5.9,1.0,1.0,1.0,0.0,43.0,1970.0,Northern Metropolitan,320000.0
2390,Brunswick West,4,h,5.9,4.0,1.0,1.0,384.0,,,Northern Metropolitan,988000.0
2391,Brunswick West,4,h,5.9,,,,,,,Northern Metropolitan,910000.0
2392,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,,,Northern Metropolitan,400000.0
2394,Brunswick West,1,u,5.9,1.0,1.0,1.0,0.0,42.0,1970.0,Northern Metropolitan,330000.0
2395,Brunswick West,2,u,5.9,,,,,,,Northern Metropolitan,315000.0
2396,Brunswick West,2,u,5.9,,,,,,,Northern Metropolitan,380000.0
2397,Brunswick West,5,h,5.9,5.0,2.0,3.0,553.0,193.0,1920.0,Northern Metropolitan,1200000.0
2398,Brunswick West,2,u,5.9,2.0,1.0,1.0,501.0,66.0,1960.0,Northern Metropolitan,537000.0
2399,Brunswick West,3,h,5.9,3.0,1.0,2.0,717.0,141.0,1950.0,Northern Metropolitan,910000.0
2400,Brunswick West,1,u,5.9,1.0,1.0,1.0,0.0,45.0,1970.0,Northern Metropolitan,285000.0
2401,Brunswick West,4,h,5.9,3.0,1.0,1.0,575.0,165.0,1930.0,Northern Metropolitan,921500.0
2402,Brunswick West,3,h,5.9,3.0,1.0,2.0,505.0,,,Northern Metropolitan,995000.0
2403,Brunswick West,3,h,5.9,3.0,1.0,4.0,357.0,,,Northern Metropolitan,901000.0
2404,Brunswick West,2,h,5.9,2.0,1.0,2.0,554.0,116.0,1930.0,Northern Metropolitan,1315000.0
2405,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,65.0,1970.0,Northern Metropolitan,370000.0
2406,Brunswick West,2,t,5.9,2.0,1.0,2.0,120.0,109.0,2004.0,Northern Metropolitan,735000.0
2407,Brunswick West,4,h,5.9,3.0,1.0,1.0,589.0,148.0,1935.0,Northern Metropolitan,1000000.0
2408,Brunswick West,1,u,5.9,1.0,1.0,1.0,0.0,45.0,1970.0,Northern Metropolitan,252000.0
2409,Brunswick West,3,h,5.9,,,,,,,Northern Metropolitan,1180000.0
2410,Brunswick West,3,u,5.9,,,,,,,Northern Metropolitan,737000.0
2411,Brunswick West,4,h,5.9,4.0,2.0,2.0,621.0,184.0,1920.0,Northern Metropolitan,1700000.0
2412,Brunswick West,2,h,5.9,3.0,1.0,1.0,206.0,98.0,1900.0,Northern Metropolitan,820000.0
2413,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,65.0,1970.0,Northern Metropolitan,370000.0
2414,Brunswick West,3,h,5.9,,,,,,,Northern Metropolitan,1100000.0
2415,Brunswick West,2,u,5.9,,,,,,,Northern Metropolitan,400000.0
2416,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,65.0,1950.0,Northern Metropolitan,484000.0
2417,Brunswick West,3,t,5.9,3.0,1.0,2.0,157.0,123.0,1999.0,Northern Metropolitan,815000.0
2418,Brunswick West,3,h,5.9,3.0,1.0,2.0,726.0,,1950.0,Northern Metropolitan,1150000.0
2419,Brunswick West,1,u,5.9,1.0,1.0,1.0,0.0,,,Northern Metropolitan,351000.0
2420,Brunswick West,2,u,5.9,,,,,,,Northern Metropolitan,395000.0
2421,Brunswick West,4,h,5.9,4.0,1.0,2.0,519.0,169.0,1910.0,Northern Metropolitan,1150000.0
2423,Brunswick West,4,h,5.9,,,,,,,Northern Metropolitan,1600000.0
2424,Brunswick West,2,t,5.9,2.0,1.0,1.0,69.0,,2009.0,Northern Metropolitan,598000.0
2425,Brunswick West,2,u,5.9,2.0,1.0,1.0,0.0,84.0,1977.0,Northern Metropolitan,497000.0
2426,Brunswick West,2,u,5.9,2.0,1.0,2.0,0.0,,,Northern Metropolitan,403000.0
2427,Brunswick West,2,h,5.9,2.0,1.0,1.0,0.0,62.0,1960.0,Northern Metropolitan,440000.0
2428,Brunswick West,2,h,5.9,3.0,2.0,1.0,343.0,115.0,1930.0,Northern Metropolitan,816000.0
2429,Brunswick West,4,h,5.9,4.0,1.0,2.0,562.0,,1920.0,Northern Metropolitan,1585000.0
2430,Brunswick West,4,h,5.9,4.0,3.0,2.0,499.0,150.0,1925.0,Northern Metropolitan,970000.0
2431,Brunswick West,3,u,5.9,,,,,,,Northern Metropolitan,490000.0
2432,Bulleen,3,u,11.8,3.0,1.0,2.0,385.0,140.0,2000.0,Eastern Metropolitan,851000.0
2433,Bulleen,4,h,11.8,4.0,1.0,2.0,717.0,180.0,1960.0,Eastern Metropolitan,1300000.0
2434,Bulleen,4,h,11.8,3.0,2.0,2.0,562.0,,,Eastern Metropolitan,1110000.0
2435,Bulleen,4,h,11.8,4.0,2.0,2.0,556.0,214.0,1957.0,Eastern Metropolitan,1235000.0
2436,Bulleen,4,t,11.8,,,,,,,Eastern Metropolitan,930000.0
2437,Bulleen,4,h,11.8,4.0,3.0,2.0,410.0,,2012.0,Eastern Metropolitan,1505000.0
2438,Bulleen,3,t,11.8,,,,,,,Eastern Metropolitan,790000.0
2439,Bulleen,4,h,11.8,4.0,2.0,2.0,670.0,197.0,1980.0,Eastern Metropolitan,1303000.0
2440,Bulleen,5,h,11.8,5.0,3.0,3.0,736.0,,,Eastern Metropolitan,1336000.0
2441,Bulleen,3,h,11.8,3.0,2.0,2.0,514.0,190.0,1960.0,Eastern Metropolitan,880000.0
2442,Bulleen,3,h,11.8,3.0,1.0,1.0,701.0,,,Eastern Metropolitan,980000.0
2443,Bulleen,3,t,11.8,3.0,2.0,2.0,632.0,226.0,2013.0,Eastern Metropolitan,975000.0
2444,Bulleen,3,h,11.8,3.0,1.0,2.0,631.0,,,Eastern Metropolitan,1127000.0
2445,Bulleen,3,h,11.8,3.0,2.0,1.0,585.0,180.0,1950.0,Eastern Metropolitan,990000.0
2446,Bulleen,4,h,11.8,5.0,2.0,2.0,617.0,,,Eastern Metropolitan,1401000.0
2448,Bulleen,3,h,11.8,2.0,1.0,2.0,775.0,,1965.0,Eastern Metropolitan,1340000.0
2450,Bulleen,4,h,11.8,4.0,2.0,2.0,723.0,159.0,1970.0,Eastern Metropolitan,1225000.0
2451,Bulleen,5,h,11.8,5.0,3.0,2.0,796.0,304.0,1975.0,Eastern Metropolitan,1490000.0
2452,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1380000.0
2454,Bulleen,3,t,11.8,3.0,2.0,2.0,315.0,,1960.0,Eastern Metropolitan,1250000.0
2455,Bulleen,4,h,11.8,4.0,1.0,2.0,650.0,323.0,,Eastern Metropolitan,1002000.0
2456,Bulleen,5,h,11.8,,,,,,,Eastern Metropolitan,950000.0
2457,Bulleen,2,t,11.8,,,,,,,Eastern Metropolitan,836000.0
2458,Bulleen,4,h,11.8,4.0,2.0,2.0,730.0,,1971.0,Eastern Metropolitan,1260000.0
2459,Bulleen,3,h,11.8,3.0,3.0,2.0,401.0,165.0,1965.0,Eastern Metropolitan,905000.0
2460,Bulleen,3,h,11.8,3.0,1.0,3.0,770.0,,,Eastern Metropolitan,1400000.0
2461,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1550000.0
2462,Bulleen,4,h,11.8,4.0,2.0,1.0,1124.0,225.0,1960.0,Eastern Metropolitan,1085000.0
2463,Bulleen,4,h,11.8,4.0,3.0,1.0,604.0,,,Eastern Metropolitan,1300000.0
2464,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,1240000.0
2465,Bulleen,3,u,11.8,3.0,1.0,2.0,306.0,100.0,1985.0,Eastern Metropolitan,787000.0
2466,Bulleen,4,h,11.8,4.0,1.0,2.0,732.0,6791.0,,Eastern Metropolitan,1280000.0
2468,Bulleen,5,h,11.8,,,,,,,Eastern Metropolitan,1900000.0
2469,Bulleen,3,h,11.8,3.0,1.0,1.0,604.0,96.0,1960.0,Eastern Metropolitan,1075000.0
2470,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,1100000.0
2471,Bulleen,2,h,11.8,2.0,1.0,2.0,559.0,,,Eastern Metropolitan,890000.0
2472,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,975000.0
2473,Bulleen,4,h,11.8,4.0,3.0,2.0,411.0,,1970.0,Eastern Metropolitan,1320000.0
2474,Bulleen,4,h,11.8,4.0,2.0,2.0,475.0,245.0,1996.0,Eastern Metropolitan,1302000.0
2475,Bulleen,3,h,11.8,3.0,2.0,1.0,728.0,719.0,1965.0,Eastern Metropolitan,1050000.0
2477,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1298000.0
2478,Bulleen,4,h,11.8,4.0,2.0,3.0,672.0,212.0,1970.0,Eastern Metropolitan,1000000.0
2480,Bulleen,4,h,11.8,4.0,2.0,2.0,744.0,300.0,1985.0,Eastern Metropolitan,1300000.0
2481,Bulleen,4,h,11.8,4.0,2.0,2.0,732.0,,,Eastern Metropolitan,1250000.0
2482,Bulleen,4,h,11.8,4.0,1.0,1.0,701.0,,,Eastern Metropolitan,976000.0
2483,Bulleen,2,h,11.8,3.0,1.0,1.0,551.0,,,Eastern Metropolitan,980000.0
2484,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1120000.0
2485,Bulleen,3,u,11.8,3.0,1.0,1.0,421.0,,,Eastern Metropolitan,812500.0
2486,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1280000.0
2487,Bulleen,3,h,11.8,3.0,1.0,2.0,602.0,175.0,1975.0,Eastern Metropolitan,990000.0
2488,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,1150000.0
2490,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,1060000.0
2491,Bulleen,4,h,11.8,4.0,2.0,2.0,530.0,,,Eastern Metropolitan,1244000.0
2492,Bulleen,4,h,11.8,4.0,2.0,2.0,693.0,212.0,1975.0,Eastern Metropolitan,1100000.0
2493,Bulleen,4,h,11.8,4.0,2.0,2.0,617.0,,1998.0,Eastern Metropolitan,1475000.0
2494,Bulleen,4,h,11.8,4.0,2.0,3.0,554.0,,,Eastern Metropolitan,1140000.0
2495,Bulleen,2,h,11.8,2.0,1.0,0.0,359.0,,,Eastern Metropolitan,833000.0
2496,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1600000.0
2497,Bulleen,2,h,11.8,2.0,1.0,1.0,591.0,140.0,1965.0,Eastern Metropolitan,903000.0
2499,Bulleen,3,t,11.8,,,,,,,Eastern Metropolitan,905000.0
2500,Bulleen,4,h,11.8,,,,,,,Eastern Metropolitan,1125000.0
2501,Bulleen,3,h,11.8,,,,,,,Eastern Metropolitan,1250000.0
2502,Bulleen,4,h,11.8,4.0,2.0,2.0,740.0,,,Eastern Metropolitan,1351000.0
2503,Bulleen,2,h,11.8,2.0,1.0,2.0,609.0,,,Eastern Metropolitan,1060000.0
2504,Bulleen,3,h,11.8,3.0,1.0,2.0,602.0,,,Eastern Metropolitan,1063000.0
2506,Bulleen,3,u,11.8,,,,,,,Eastern Metropolitan,850000.0
2507,Burwood,5,h,11.7,4.0,3.0,2.0,661.0,253.0,1940.0,Southern Metropolitan,1590000.0
2508,Burwood,3,h,11.7,3.0,1.0,2.0,697.0,,,Southern Metropolitan,1390000.0
2511,Burwood,3,h,11.7,3.0,1.0,2.0,773.0,,1960.0,Southern Metropolitan,1300000.0
2512,Burwood,4,h,11.7,4.0,2.0,2.0,1145.0,111.0,1960.0,Southern Metropolitan,1890000.0
2513,Burwood,3,u,11.7,3.0,2.0,2.0,265.0,130.0,2000.0,Southern Metropolitan,1022500.0
2514,Burwood,3,h,11.7,3.0,1.0,1.0,662.0,,,Southern Metropolitan,1250000.0
2515,Burwood,3,h,11.7,3.0,1.0,1.0,695.0,,,Southern Metropolitan,1151000.0
2516,Burwood,3,h,11.7,3.0,1.0,1.0,931.0,145.0,1970.0,Southern Metropolitan,1755000.0
2517,Burwood,5,h,11.7,,,,,,,Southern Metropolitan,1505000.0
2521,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,935000.0
2522,Burwood,3,u,11.7,3.0,1.0,2.0,273.0,,1980.0,Southern Metropolitan,686000.0
2523,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,1400000.0
2524,Burwood,2,u,11.7,,,,,,,Southern Metropolitan,604000.0
2525,Burwood,3,h,11.7,3.0,1.0,1.0,667.0,136.0,1950.0,Southern Metropolitan,1300000.0
2527,Burwood,3,h,11.7,3.0,1.0,1.0,786.0,111.0,1950.0,Southern Metropolitan,1160000.0
2531,Burwood,4,h,11.7,4.0,3.0,2.0,928.0,229.0,1996.0,Southern Metropolitan,2000000.0
2532,Burwood,2,u,11.7,,,,,,,Southern Metropolitan,601000.0
2533,Burwood,3,h,11.7,3.0,1.0,2.0,318.0,103.0,1960.0,Southern Metropolitan,790000.0
2535,Burwood,3,t,11.7,,,,,,,Southern Metropolitan,930000.0
2537,Burwood,4,h,11.7,4.0,2.0,1.0,921.0,174.0,1950.0,Southern Metropolitan,1682000.0
2538,Burwood,3,u,11.7,3.0,2.0,1.0,0.0,115.0,2002.0,Southern Metropolitan,625000.0
2539,Burwood,3,t,11.7,3.0,2.0,2.0,160.0,,,Southern Metropolitan,780000.0
2540,Burwood,3,h,11.7,3.0,1.0,2.0,690.0,,,Southern Metropolitan,1342000.0
2541,Burwood,4,h,11.7,,,,,,,Southern Metropolitan,1381000.0
2543,Burwood,4,h,11.7,4.0,2.0,2.0,804.0,,,Southern Metropolitan,1782800.0
2544,Burwood,3,t,11.7,,,,,,,Southern Metropolitan,956000.0
2545,Burwood,3,h,11.7,3.0,1.0,2.0,706.0,,,Southern Metropolitan,1468000.0
2547,Burwood,2,u,11.7,2.0,1.0,1.0,194.0,120.0,1975.0,Southern Metropolitan,650000.0
2550,Burwood,5,h,11.7,4.0,3.0,2.0,326.0,210.0,2013.0,Southern Metropolitan,1060000.0
2551,Burwood,4,h,11.7,,,,,,,Southern Metropolitan,1765000.0
2552,Burwood,4,h,11.7,4.0,2.0,2.0,438.0,210.0,2005.0,Southern Metropolitan,1255000.0
2554,Burwood,4,h,11.7,3.0,1.0,4.0,586.0,,1955.0,Southern Metropolitan,900000.0
2555,Burwood,2,h,11.7,2.0,1.0,1.0,276.0,92.0,1965.0,Southern Metropolitan,633000.0
2556,Burwood,3,h,11.7,3.0,1.0,2.0,776.0,,,Southern Metropolitan,1070500.0
2557,Burwood,3,h,11.7,3.0,1.0,2.0,661.0,,,Southern Metropolitan,1175000.0
2558,Burwood,3,h,11.7,3.0,2.0,2.0,660.0,,,Southern Metropolitan,1521000.0
2561,Burwood,2,h,11.7,2.0,1.0,2.0,593.0,82.0,1950.0,Southern Metropolitan,1350000.0
2564,Burwood,3,t,11.7,4.0,2.0,2.0,217.0,,1993.0,Southern Metropolitan,752000.0
2565,Burwood,3,h,11.7,3.0,1.0,1.0,384.0,112.0,1950.0,Southern Metropolitan,570000.0
2566,Burwood,3,h,11.7,3.0,1.0,2.0,742.0,,,Southern Metropolitan,1460000.0
2567,Burwood,3,t,11.7,3.0,1.0,2.0,228.0,126.0,1998.0,Southern Metropolitan,745000.0
2568,Burwood,5,h,11.7,,,,,,,Southern Metropolitan,757000.0
2570,Burwood,5,h,11.7,5.0,4.0,2.0,643.0,380.0,2014.0,Southern Metropolitan,2150000.0
2571,Burwood,3,u,11.7,3.0,1.0,2.0,308.0,92.0,1995.0,Southern Metropolitan,746000.0
2572,Burwood,3,h,11.7,3.0,2.0,2.0,263.0,,,Southern Metropolitan,990000.0
2574,Burwood,3,h,11.7,3.0,2.0,2.0,653.0,120.0,1950.0,Southern Metropolitan,1540000.0
2575,Burwood,3,t,11.7,3.0,2.0,2.0,329.0,,,Southern Metropolitan,1145000.0
2576,Burwood,5,h,11.7,5.0,2.0,1.0,824.0,,1950.0,Southern Metropolitan,1410000.0
2578,Burwood,4,t,11.7,,,,,,,Southern Metropolitan,902000.0
2580,Burwood,2,u,11.7,,,,,,,Southern Metropolitan,600000.0
2582,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,1020000.0
2583,Burwood,3,u,11.7,3.0,1.0,1.0,217.0,,,Southern Metropolitan,640000.0
2584,Burwood,4,t,11.7,,,,,,,Southern Metropolitan,1000050.0
2585,Burwood,4,t,11.7,,,,,,,Southern Metropolitan,1000050.0
2586,Burwood,4,h,11.7,4.0,2.0,2.0,1393.0,,1963.0,Southern Metropolitan,1800000.0
2587,Burwood,4,t,11.7,4.0,2.0,2.0,399.0,212.0,2005.0,Southern Metropolitan,1270000.0
2591,Burwood,5,h,11.7,,,,,,,Southern Metropolitan,1800000.0
2592,Burwood,4,t,11.7,4.0,3.0,2.0,381.0,176.0,2013.0,Southern Metropolitan,900000.0
2593,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,1560000.0
2594,Burwood,4,t,11.7,,,,,,,Southern Metropolitan,1500000.0
2595,Burwood,4,h,11.7,,,,,,,Southern Metropolitan,1235000.0
2596,Burwood,2,u,11.7,,,,,,,Southern Metropolitan,585000.0
2597,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,750000.0
2598,Burwood,4,h,11.7,4.0,2.0,2.0,499.0,220.0,2005.0,Southern Metropolitan,1250000.0
2600,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,1116000.0
2601,Burwood,2,u,11.7,,,,,,,Southern Metropolitan,580000.0
2603,Burwood,3,t,11.7,,,,,,,Southern Metropolitan,1165000.0
2605,Burwood,4,h,11.7,3.0,2.0,3.0,739.0,182.0,1970.0,Southern Metropolitan,1410000.0
2607,Burwood,5,h,11.7,5.0,2.0,1.0,544.0,,,Southern Metropolitan,1100000.0
2608,Burwood,4,t,11.7,,,,,,,Southern Metropolitan,880000.0
2610,Burwood,3,h,11.7,,,,,,,Southern Metropolitan,1495000.0
2611,Burwood,4,h,11.7,4.0,2.0,2.0,662.0,,,Southern Metropolitan,1485000.0
2612,Burwood,3,h,11.7,3.0,1.0,1.0,1101.0,,,Southern Metropolitan,2068000.0
2613,Burwood,10,h,11.7,,,,,,,Southern Metropolitan,1960000.0
2614,Burwood,3,h,11.7,3.0,1.0,1.0,589.0,,,Southern Metropolitan,1000000.0
2615,Burwood,4,u,11.7,4.0,2.0,1.0,0.0,150.0,1950.0,Southern Metropolitan,800000.0
2616,Burwood,3,t,11.7,3.0,2.0,1.0,170.0,106.0,2001.0,Southern Metropolitan,702000.0
2618,Camberwell,4,h,7.8,4.0,2.0,1.0,652.0,189.0,1890.0,Southern Metropolitan,2650000.0
2619,Camberwell,3,t,7.8,3.0,1.0,2.0,389.0,,,Southern Metropolitan,1615000.0
2621,Camberwell,4,h,7.8,4.0,3.0,2.0,934.0,,,Southern Metropolitan,3225000.0
2623,Camberwell,2,u,7.8,2.0,1.0,2.0,0.0,,1940.0,Southern Metropolitan,1017000.0
2624,Camberwell,2,u,7.8,2.0,1.0,1.0,137.0,87.0,1970.0,Southern Metropolitan,729000.0
2625,Camberwell,5,h,7.8,5.0,4.0,1.0,708.0,348.0,1940.0,Southern Metropolitan,2600000.0
2631,Camberwell,3,h,7.8,3.0,2.0,2.0,305.0,189.0,1998.0,Southern Metropolitan,1650000.0
2636,Camberwell,3,t,7.8,,,,,,,Southern Metropolitan,1175000.0
2637,Camberwell,5,h,7.8,,,,,,,Southern Metropolitan,2240000.0
2639,Camberwell,5,h,7.8,5.0,3.0,4.0,753.0,,1940.0,Southern Metropolitan,2860000.0
2642,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,1910000.0
2643,Camberwell,2,h,7.8,2.0,1.0,2.0,230.0,,1994.0,Southern Metropolitan,950000.0
2644,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,2285000.0
2645,Camberwell,2,u,7.8,2.0,1.0,1.0,1107.0,68.0,1960.0,Southern Metropolitan,615000.0
2647,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,1950000.0
2648,Camberwell,3,h,7.8,3.0,2.0,2.0,706.0,164.0,1960.0,Southern Metropolitan,1987000.0
2649,Camberwell,2,u,7.8,2.0,1.0,1.0,146.0,86.0,1970.0,Southern Metropolitan,683000.0
2650,Camberwell,3,h,7.8,3.0,2.0,1.0,777.0,154.0,1950.0,Southern Metropolitan,1690000.0
2651,Camberwell,2,u,7.8,2.0,1.0,1.0,0.0,56.0,2011.0,Southern Metropolitan,430000.0
2652,Camberwell,2,u,7.8,2.0,1.0,1.0,136.0,,1960.0,Southern Metropolitan,717000.0
2654,Camberwell,3,t,7.8,3.0,2.0,2.0,342.0,,,Southern Metropolitan,1300000.0
2658,Camberwell,4,h,7.8,4.0,2.0,4.0,661.0,,,Southern Metropolitan,2950000.0
2659,Camberwell,4,h,7.8,3.0,2.0,2.0,600.0,232.0,1897.0,Southern Metropolitan,2600000.0
2660,Camberwell,3,h,7.8,3.0,2.0,2.0,1133.0,131.0,1930.0,Southern Metropolitan,2325000.0
2663,Camberwell,2,u,7.8,2.0,1.0,1.0,896.0,77.0,1960.0,Southern Metropolitan,435000.0
2665,Camberwell,2,h,7.8,2.0,1.0,1.0,335.0,,,Southern Metropolitan,892000.0
2668,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,3165000.0
2669,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,1550000.0
2670,Camberwell,2,u,7.8,,,,,,,Southern Metropolitan,522000.0
2671,Camberwell,5,h,7.8,,,,,,,Southern Metropolitan,3360000.0
2672,Camberwell,2,t,7.8,2.0,1.0,1.0,93.0,111.0,,Southern Metropolitan,900400.0
2674,Camberwell,4,h,7.8,4.0,2.0,2.0,650.0,,,Southern Metropolitan,2090000.0
2675,Camberwell,3,t,7.8,3.0,2.0,2.0,232.0,,,Southern Metropolitan,1250000.0
2678,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,3775000.0
2679,Camberwell,2,u,7.8,,,,,,,Southern Metropolitan,752000.0
2681,Camberwell,3,h,7.8,3.0,1.0,2.0,821.0,105.0,1925.0,Southern Metropolitan,2000000.0
2682,Camberwell,3,h,7.8,2.0,1.0,1.0,427.0,115.0,1938.0,Southern Metropolitan,1302000.0
2683,Camberwell,2,u,7.8,,,,,,,Southern Metropolitan,753000.0
2684,Camberwell,3,h,7.8,3.0,2.0,2.0,244.0,,,Southern Metropolitan,1430000.0
2686,Camberwell,3,h,7.8,3.0,1.0,1.0,544.0,160.0,1930.0,Southern Metropolitan,1622000.0
2687,Camberwell,2,u,7.8,2.0,1.0,1.0,0.0,77.0,1965.0,Southern Metropolitan,502000.0
2690,Camberwell,2,u,7.8,2.0,1.0,1.0,896.0,77.0,1960.0,Southern Metropolitan,435000.0
2691,Camberwell,3,t,7.8,,,,,,,Southern Metropolitan,1500000.0
2692,Camberwell,5,h,7.8,,,,,,,Southern Metropolitan,4440000.0
2696,Camberwell,2,h,7.8,2.0,1.0,1.0,122.0,,1960.0,Southern Metropolitan,620000.0
2697,Camberwell,5,h,7.8,5.0,3.0,2.0,801.0,,1920.0,Southern Metropolitan,2000000.0
2699,Camberwell,3,u,7.8,3.0,1.0,1.0,0.0,89.0,1960.0,Southern Metropolitan,591000.0
2700,Camberwell,5,h,7.8,,,,,,,Southern Metropolitan,1800000.0
2703,Camberwell,2,u,7.8,,,,,,,Southern Metropolitan,550000.0
2704,Camberwell,5,h,7.8,5.0,2.0,4.0,730.0,3112.0,1920.0,Southern Metropolitan,2608000.0
2707,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,1410000.0
2708,Camberwell,3,h,7.8,3.0,1.0,1.0,769.0,133.0,1930.0,Southern Metropolitan,1780000.0
2711,Camberwell,3,h,7.8,3.0,2.0,2.0,656.0,225.0,2009.0,Southern Metropolitan,2250000.0
2713,Camberwell,2,h,7.8,2.0,1.0,1.0,424.0,95.0,1930.0,Southern Metropolitan,895000.0
2714,Camberwell,3,h,7.8,3.0,2.0,0.0,584.0,213.0,1920.0,Southern Metropolitan,1800000.0
2716,Camberwell,4,h,7.8,3.0,0.0,0.0,693.0,,1935.0,Southern Metropolitan,1400000.0
2717,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,2200000.0
2718,Camberwell,2,u,7.8,2.0,1.0,1.0,84.0,,,Southern Metropolitan,693000.0
2719,Camberwell,2,u,7.8,2.0,1.0,1.0,150.0,88.0,1970.0,Southern Metropolitan,900000.0
2720,Camberwell,5,h,7.8,5.0,3.0,2.0,802.0,317.0,1994.0,Southern Metropolitan,2700000.0
2723,Camberwell,2,u,7.8,2.0,1.0,1.0,0.0,76.0,1960.0,Southern Metropolitan,530000.0
2724,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,1946000.0
2726,Camberwell,2,u,7.8,2.0,2.0,2.0,188.0,,,Southern Metropolitan,805000.0
2727,Camberwell,4,h,7.8,4.0,2.0,2.0,813.0,163.0,1960.0,Southern Metropolitan,2228000.0
2729,Camberwell,3,t,7.8,3.0,2.0,2.0,132.0,,1970.0,Southern Metropolitan,930000.0
2730,Camberwell,2,u,7.8,2.0,1.0,1.0,0.0,,,Southern Metropolitan,590000.0
2731,Camberwell,4,h,7.8,4.0,2.0,2.0,903.0,,,Southern Metropolitan,4760000.0
2732,Camberwell,3,h,7.8,3.0,1.0,1.0,405.0,102.0,1930.0,Southern Metropolitan,1602500.0
2734,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,1650000.0
2735,Camberwell,3,t,7.8,3.0,2.0,2.0,318.0,,,Southern Metropolitan,1515000.0
2736,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,2132500.0
2737,Camberwell,2,h,7.8,2.0,1.0,4.0,368.0,,,Southern Metropolitan,1800000.0
2739,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,2625000.0
2742,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,2580000.0
2747,Camberwell,2,u,7.8,2.0,1.0,1.0,0.0,,,Southern Metropolitan,530000.0
2748,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,3150000.0
2749,Camberwell,4,h,7.8,,,,,,,Southern Metropolitan,1100000.0
2750,Camberwell,3,u,7.8,,,,,,,Southern Metropolitan,1333000.0
2751,Camberwell,3,h,7.8,,,,,,,Southern Metropolitan,3000000.0
2752,Camberwell,2,u,7.8,3.0,1.0,1.0,0.0,,,Southern Metropolitan,558000.0
